El mar la mar	2017	Documentary	"Joshua Bonnetta,J.P. Sniadecki"			7
Turning Point	2008	"Short,Thriller"	Brent Robert Williams			9
Alien: Resurrection	1997	"Action,Horror,Sci-Fi"	Jean-Pierre Jeunet	"Dan O'Bannon,Ronald Shusett,Joss Whedon"	"Sigourney Weaver,Winona Ryder,Dominique Pinon,Ron Perlman"	6.2
Aliens	1986	"Action,Adventure,Sci-Fi"	James Cameron	"David Giler,Walter Hill,Dan O'Bannon,Ronald Shusett"	"Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser"	8.4
Hesburgh	2018	Documentary	Patrick Creadon	"Nick Andert,Jerry Barca,William Neal"		9.3
Alien	1979	"Horror,Sci-Fi"	Ridley Scott	"Dan O'Bannon,Ronald Shusett"	"Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright"	8.5
The Sign of the Cross	1932	"Drama,History"	Cecil B. DeMille	"Henryk Sienkiewicz,Waldemar Young,Sidney Buchman,Wilson Barrett,Dudley Nichols"	"Fredric March,Claudette Colbert,Elissa Landi,Charles Laughton"	6.9
Hendi & Hormoz	2018	"Drama,Romance"	Abbas Amini	Hossein Farokhzadeh	"Hamed Alipour,Zohreh Eslami,Asma Daneh-Chin,Mohammad Banouj"	7.8
Sly	2018	"Comedy,Drama"	Kamal Tabrizi	Aidin Sayar Sarie	"Vishka Asayesh,Hamed Behdad,Mani Haghighi,Mohammad Amir Naji"	4.7
Sunset Truck	2017	Drama	Abolfazl Saffary	Sajad Afsharian	"Pejman Bazeghi,Nader Fallah,Roshanak Gerami,Manzar Lashgari"	
The Music Man	1962	"Comedy,Musical,Romance"	Morton DaCosta	"Meredith Willson,Franklin Lacey,Marion Hargrove"	"Robert Preston,Shirley Jones,Buddy Hackett,Hermione Gingold"	7.7
Before Summer Ends	2017	"Comedy,Documentary"	Maryam Goormaghtigh		"Arash,Ashkan,Hossein,Charlotte,Michèle"	6.5
Ali Aqa	2017	Documentary	Kamran Heidari	Ehsan Bahari		7.1
Sheeple	2018	"Action,Crime,Drama"	Houman Seyyedi		"Navid Mohammadzadeh,Farhad Aslani,Farid Sajjadi Hosseini,Marjan Ettefaghian"	7.8
Tehran: City of Love	2018	Drama	Ali Jaberansari	Maryam Najafi	"Forough Ghajabagli,Mehdi Saki,Amir Hessam Bakhtiari,Behnaz Jafari"	7.7
Ill Fate	2018	"Short,Thriller"	Mandy Newton		"Vanessa Anders,Kenya San Miguel,Trantario Jones,Anthony Phoenix"	
Seven Days to Noon	1950	"Drama,Thriller"	"John Boulting,Roy Boulting"	"Frank Harvey,Paul Dehn,James Bernard"	"Barry Jones,André Morell,Olive Sloane,Sheila Manahan"	7.2
The Dark Crystal	1982	"Adventure,Family,Fantasy"		David Odell	"Jim Henson,Kathryn Mullen,Frank Oz,Dave Goelz"	7.2
The House Is Black	1963	"Documentary,Short"			"Forugh Farrokhzad,Ebrahim Golestan"	7.9
Queen of Diamonds	2007	Drama	Nina Menkes		"Emmellda Beech,Tinka Menkes"	6.1
Pola	2012	"Drama,Short"	Kinshuk Surjan			
They Shall Not Grow Old	2018	"Documentary,History,War"	Peter Jackson			8.4
Tarnation	2003	"Biography,Documentary"				7.2
